,match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
4092,12313526,2,,,aLwbsmSNb,1,3,1715148900,monnet-liu,True
4093,12313527,2,,,wPDchueid,2,3,1715146500,dong-dang,True
4094,12313528,1,,,PncvsBpjb,1,3,1715126400,zheng-okamura,True
4095,12313529,2,,,voAjrVKc,1,3,1715155200,wurth-ponchet,True
4096,12313530,2,,,bIpsIwu,2,3,1715151300,baindl-melnikova,True
4097,12313531,2,,,BeRbsacWb,1,3,1715156100,tikhonova-smith,True
4098,12313532,2,,,xbesUpD,2,3,1715142600,ho-ching-wu-jing-jing-lu,False
4099,12313533,2,,,ZQDcsADEd,2,3,1715140500,jiayou-li-tararudee,True
4100,12313534,1,,,clXsjZBb,1,3,1715164500,hindova-oz-i,True
4101,12313535,1,,,RipcsBwpw,1,3,1715149200,noha-akugue-kolodynska,True
4102,12313536,1,,,ngxsAQAb,2,3,1715163300,karamoko-simion,True
4103,12313537,1,,,JuRbsHOYc,2,3,1715159400,seidel-sakatsume,True
4104,12313539,2,,,GqkcVZCc,2,3,1715162100,stakusic-abduraimova,True
4105,12313540,2,,,cBeksYrJd,2,3,1715160000,bervid-spiteri,True
4106,12313541,1,,,dKgdskRqd,1,3,1715156400,herea-bertea,True
4107,12313544,1,,,ovJbstjuc,1,3,1715176500,klimovicova-chwalinska,True
4108,12313546,2,,,NunckkxFc,2,3,1715148900,marino-gonzalez-fernandez,True
4109,12313547,2,,,glmbsXqMs,2,3,1715159700,udvardy-bulgaru,False
4110,12313550,1,,,gLPfsaQGc,2,3,1715168400,coman-bax,False
4111,12313551,1,,,UUDzmYcb,2,3,1715158800,fita-boluda-a-hobgarski,True
4112,12313552,2,,,iMusGDQd,1,3,1715177100,esquiva-banuls-pattinama-kerkhove,False
4113,12313553,2,,,LTcbsbfHb,2,3,1715163300,arias-manjon-mendez,False
4114,12313554,,,,HyAsnqK,,3,1715151600,albie-lazaro-garcia,True
4115,12313555,2,,,KqusEJFb,2,3,1715158500,vedder-marcinkevica,False
4116,12313556,1,,,mQysEGMd,2,3,1715163000,anson-sanchez-sanchez,True
4117,12313557,2,,,nwYcsCbpd,1,3,1715169600,prodan-el-aouni,False
4118,12313558,1,,,arvbgJjIc,2,3,1715152500,cirpanli-yushchenko,False
4119,12313561,2,,,UJgdwnphe,1,3,1715169600,dorofeeva-rybas-grechkina,True
4120,12313570,2,,,ICNbsvpQb,2,3,1715142600,boitan-otegui,False
4121,12313571,,,,LHCbsMPOc,2,3,1715151600,chirita-kivattsev,True
4122,12313579,,,,nqTsmGRb,,3,1715142600,palosi-perez-contri,True
4123,12313582,1,,,ptQgHZtb,1,3,1715159700,dougaz-donev,False
4124,12313584,2,,,NXvsbdOb,1,3,1715163600,gadecki-hesse,True
4125,12313586,1,,,DbKbsipCc,2,3,1715172300,berecoechea-martinez-cirez,True
4126,12313588,2,,,UoLcsCqed,1,3,1715166900,pisaric-gueymard-wayenburg,True
4127,12313589,1,,,gRKcsDond,1,3,1715170200,frusina-ghibaudo,True
4128,12313647,2,,,czBcsFOde,2,3,1715122800,anderson-ross,False
4129,12313648,2,,,uxPszsXb,1,3,1715105700,schachter-van-orderlain,True
4130,12313649,1,,,LajcsUlrd,1,3,1715110500,vithoontien-magadan,True
