,match_id,tournament_id,tournament_name,tournament_slug,tournament_unique_id,tournament_category_name,tournament_category_slug,user_count,ground_type,tennis_points,has_event_player_statistics,crowd_sourcing_enabled,has_performance_graph_feature,display_inverse_home_away_teams,priority,competition_type
17833,12373326,130958,"La Nucia, Singles Qualifying, M-ITF-ESP-18A",la-nucia-singles-qualifying-m-itf-esp-18a,,ITF Men,itf-men,18,Red clay,,True,False,True,False,0,2
17834,12373327,130958,"La Nucia, Singles Qualifying, M-ITF-ESP-18A",la-nucia-singles-qualifying-m-itf-esp-18a,,ITF Men,itf-men,18,Red clay,,False,True,True,True,0,2
17835,12373352,130961,"Bol, Singles Qualifying, W-ITF-CRO-06A",bol-singles-qualifying-w-itf-cro-06a,,ITF Women,itf-women,5,Red clay,,False,True,True,True,0,2
17836,12373356,131015,"Montemor-o-Novo, Singles Q, W-ITF-POR-05A",montemor-o-novo-singles-q-w-itf-por-05a,,ITF Women,itf-women,11,Hardcourt outdoor,,True,False,False,False,0,2
17837,12373362,131013,"Brescia, Singles Qualifying, W-ITF-ITA-10A",brescia-singles-qualifying-w-itf-ita-10a,,ITF Women,itf-women,12,Red clay,,False,False,False,True,0,2
17838,12373363,131013,"Brescia, Singles Qualifying, W-ITF-ITA-10A",brescia-singles-qualifying-w-itf-ita-10a,,ITF Women,itf-women,12,Red clay,,False,False,False,True,0,2
17839,12373364,131013,"Brescia, Singles Qualifying, W-ITF-ITA-10A",brescia-singles-qualifying-w-itf-ita-10a,,ITF Women,itf-women,12,Red clay,,False,False,False,False,0,2
17840,12373409,130950,"Kiseljak, Singles Qualifying, M-ITF-BIH-04A",kiseljak-singles-qualifying-m-itf-bih-04a,,ITF Men,itf-men,21,Red clay,,False,True,False,True,0,2
17841,12373473,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,True,True,False,True,0,2
17842,12373481,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,False,False,True,False,0,2
17843,12373483,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,True,True,True,True,0,2
17844,12373484,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,True,False,False,True,0,2
17845,12373488,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,True,True,True,True,0,2
17846,12373489,131088,"Monastir, Singles Main, M-ITF-TUN-34A",monastir-singles-main-m-itf-tun-34a,,ITF Men,itf-men,18,Hardcourt outdoor,,True,True,True,True,0,2
17847,12373490,131089,"Monastir, Singles Main, W-ITF-TUN-31A",monastir-singles-main-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,True,True,True,False,0,2
17848,12373491,131089,"Monastir, Singles Main, W-ITF-TUN-31A",monastir-singles-main-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,True,False,True,True,0,2
17849,12373492,131088,"Monastir, Singles Main, M-ITF-TUN-34A",monastir-singles-main-m-itf-tun-34a,,ITF Men,itf-men,18,Hardcourt outdoor,,True,False,False,False,0,2
17850,12373493,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,False,True,False,True,0,2
17851,12373494,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,False,False,False,True,0,2
17852,12373496,130966,"Monastir, Singles Qualifying, W-ITF-TUN-31A",monastir-singles-qualifying-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,False,False,False,False,0,2
17853,12373500,131089,"Monastir, Singles Main, W-ITF-TUN-31A",monastir-singles-main-w-itf-tun-31a,,ITF Women,itf-women,15,Hardcourt outdoor,,False,False,True,False,0,2
17854,12373510,131015,"Montemor-o-Novo, Singles Q, W-ITF-POR-05A",montemor-o-novo-singles-q-w-itf-por-05a,,ITF Women,itf-women,11,Hardcourt outdoor,,False,True,False,True,0,2
17855,12373511,131015,"Montemor-o-Novo, Singles Q, W-ITF-POR-05A",montemor-o-novo-singles-q-w-itf-por-05a,,ITF Women,itf-women,11,Hardcourt outdoor,,True,True,False,True,0,2
17856,12373584,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,False,False,False,0,2
17857,12373585,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,True,False,False,0,2
17858,12373586,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,False,False,False,0,2
17859,12373587,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,True,True,True,0,2
17860,12373588,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,True,True,0,2
17861,12373589,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,True,True,0,2
17862,12373590,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,False,True,0,2
17863,12373670,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,False,True,False,False,0,2
17864,12373671,131021,"Rio Claro, Singles Qualifying, W-ITF-BRA-06A",rio-claro-singles-qualifying-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,False,True,True,False,0,2
17865,12373672,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,True,True,False,False,0,2
17866,12373673,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,False,True,True,False,0,2
17867,12373674,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,False,False,False,True,0,2
17868,12373675,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,False,False,True,False,0,2
17869,12373676,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,True,False,True,True,0,2
17870,12373677,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,False,True,True,False,0,2
17871,12373678,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,True,False,True,False,0,2
17872,12373680,131092,"Kingston, Singles Main, M-ITF-JAM-03A",kingston-singles-main-m-itf-jam-03a,,ITF Men,itf-men,4,Hardcourt outdoor,,True,True,False,True,0,2
17873,12373730,130867,"Little Rock, USA",little-rock-usa,,Challenger,challenger,109,Hardcourt outdoor,,True,True,True,False,0,2
17874,12373731,130867,"Little Rock, USA",little-rock-usa,,Challenger,challenger,109,Hardcourt outdoor,,True,False,False,False,0,2
17875,12373732,130867,"Little Rock, USA",little-rock-usa,,Challenger,challenger,109,Hardcourt outdoor,,False,True,True,False,0,2
17876,12373733,130867,"Little Rock, USA",little-rock-usa,,Challenger,challenger,109,Hardcourt outdoor,,False,True,True,True,0,2
17877,12373734,130867,"Little Rock, USA",little-rock-usa,,Challenger,challenger,109,Hardcourt outdoor,,False,True,False,True,0,2
17878,12373735,130867,"Little Rock, USA",little-rock-usa,,Challenger,challenger,109,Hardcourt outdoor,,True,True,True,False,0,2
17879,12373739,131019,"Santo Domingo Este, Singles Main, W-ITF-DOM-04A",santo-domingo-este-singles-main-w-itf-dom-04a,,ITF Women,itf-women,17,Hardcourt outdoor,,True,False,False,False,0,2
17880,12373767,131021,"Rio Claro, Singles Qualifying, W-ITF-BRA-06A",rio-claro-singles-qualifying-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,False,True,False,True,0,2
17881,12373768,131021,"Rio Claro, Singles Qualifying, W-ITF-BRA-06A",rio-claro-singles-qualifying-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,True,True,True,False,0,2
17882,12373769,131021,"Rio Claro, Singles Qualifying, W-ITF-BRA-06A",rio-claro-singles-qualifying-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,False,False,True,True,0,2
17883,12373770,131095,"Rio Claro, Singles Main, W-ITF-BRA-06A",rio-claro-singles-main-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,True,False,False,True,0,2
17884,12373771,131021,"Rio Claro, Singles Qualifying, W-ITF-BRA-06A",rio-claro-singles-qualifying-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,False,True,False,True,0,2
17885,12373772,131095,"Rio Claro, Singles Main, W-ITF-BRA-06A",rio-claro-singles-main-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,True,False,True,False,0,2
17886,12373774,131095,"Rio Claro, Singles Main, W-ITF-BRA-06A",rio-claro-singles-main-w-itf-bra-06a,,ITF Women,itf-women,19,Red clay,,True,True,False,False,0,2
