,match_id,city,stadium,venue_id,country
18088,12346361,Paris,Court 7,21829,France
18089,12346362,Paris,Court 5,17190,France
18090,12346364,Paris,Court Simonne Mathieu,25283,France
18091,12346365,Paris,Court  13,21830,France
18092,12346366,Paris,Court 3,17175,France
18093,12346367,Paris,Court 14,17174,France
18094,12346368,Paris,Court Simonne Mathieu,25283,France
18095,12346371,Paris,Court Philippe Chatrier,17178,France
18096,12346373,Paris,Court Suzanne Lenglen,17177,France
18097,12346429,Paris,Court 9,21828,France
18098,12346430,Paris,Court 4,21932,France
18099,12346431,Paris,Court 2,17176,France
18100,12346432,Paris,Court 14,17174,France
18101,12346433,Paris,Court 10,25209,France
18102,12346434,Paris,Court Suzanne Lenglen,17177,France
18103,12346435,Paris,Court 10,25209,France
18104,12346436,Paris,Court 3,17175,France
18105,12346437,Paris,Court  13,21830,France
18106,12346438,Paris,Court 8,17191,France
18107,12346439,Paris,Court 12,21831,France
18108,12346440,Paris,Court Philippe Chatrier,17178,France
18109,12346441,Paris,Court 5,17190,France
18110,12346442,Paris,Court 7,21829,France
18111,12346444,Paris,Court 6,17170,France
18112,12346448,Paris,Court Suzanne Lenglen,17177,France
18113,12346457,Paris,Court Philippe Chatrier,17178,France
18114,12346473,Paris,Court 6,17170,France
18115,12346476,Paris,Court 11,25210,France
18116,12346477,Paris,Court 7,21829,France
18117,12346479,Paris,Court Suzanne Lenglen,17177,France
18118,12346480,Paris,Court 2,17176,France
18119,12346481,Paris,Court Simonne Mathieu,25283,France
18120,12346482,Paris,Court 4,21932,France
18121,12346483,Paris,Court Philippe Chatrier,17178,France
18122,12346484,Paris,Court 12,21831,France
18123,12346485,Paris,Court 8,17191,France
18124,12346486,Paris,Court 3,17175,France
18125,12346489,Paris,Court 2,17176,France
18126,12346490,Paris,Court Philippe Chatrier,17178,France
18127,12346491,Paris,Court 14,17174,France
18128,12360749,Little Rock,Stadium,25339,USA
18129,12360750,Little Rock,Stadium,25339,USA
18130,12360752,Little Rock,Stadium,25339,USA
18131,12360759,Little Rock,Court 13,25340,USA
18132,12361493,Vicenza,CENTRALE,21891,Italy
18133,12361495,Vicenza,CAMPO 5,21892,Italy
18134,12361496,Vicenza,CENTRALE,21891,Italy
18135,12361498,Vicenza,Campo 4,44560,Italy
18136,12361502,Vicenza,CENTRALE,21891,Italy
18137,12361506,Vicenza,CENTRALE,21891,Italy
18138,12361622,Paris,Court  13,21830,France
18139,12361624,Paris,Court 3,17175,France
18140,12361625,Paris,Court 5,17190,France
18141,12361636,Paris,Court 7,21829,France
18142,12361637,Paris,Court 14,17174,France
18143,12361639,Paris,Court 2,17176,France
18144,12361645,Paris,Court Simonne Mathieu,25283,France
18145,12361646,Paris,Court 10,25209,France
18146,12361647,Paris,Court Suzanne Lenglen,17177,France
18147,12361648,Paris,Court Simonne Mathieu,25283,France
18148,12361650,Paris,Court 4,21932,France
18149,12361651,Paris,Court 9,21828,France
18150,12361656,Paris,Court 6,17170,France
18151,12361665,Paris,Court Philippe Chatrier,17178,France
18152,12361906,Paris,Court Philippe Chatrier,17178,France
18153,12361908,Paris,Court 8,17191,France
18154,12361909,Paris,Court 4,21932,France
18155,12361910,Paris,Court 12,21831,France
18156,12361911,Paris,Court 11,25210,France
18157,12361912,Paris,Court Simonne Mathieu,25283,France
18158,12361913,Paris,Court Suzanne Lenglen,17177,France
18159,12361915,Paris,Court  13,21830,France
18160,12361916,Paris,Court 5,17190,France
18161,12361918,Paris,Court 14,17174,France
18162,12361921,Paris,Court 6,17170,France
18163,12361923,Paris,Court 8,17191,France
18164,12361925,Paris,Court 9,21828,France
18165,12366016,Paris,Court 6,17170,France
18166,12366023,Paris,Court 11,25210,France
18167,12366025,Paris,Court 12,21831,France
18168,12366026,Paris,Court 9,21828,France
18169,12366202,Paris,Court Suzanne Lenglen,17177,France
18170,12366204,Paris,Court 2,17176,France
18171,12366206,Paris,Court 3,17175,France
18172,12366210,Paris,Court Philippe Chatrier,17178,France
18173,12366212,Paris,Court 10,25209,France
18174,12366214,Paris,Court 7,21829,France
18175,12368842,Vicenza,Campo 4,44560,Italy
18176,12368847,Vicenza,Campo 4,44560,Italy
