,match_id,home_vote,away_vote
439,12295836,2,34
440,12295837,6,10
441,12295838,12,8
442,12295840,4,12
443,12295842,240,26
444,12295843,1100,68
445,12295844,60,258
446,12295845,124,334
447,12295846,650,36
448,12296103,12,36
449,12296104,0,14
450,12296105,42,2
451,12296106,0,0
452,12296107,2,26
453,12296108,4,6
454,12296109,2,2
455,12296151,26,0
456,12296152,14,2
457,12296153,12,24
458,12296154,54,70
459,12296155,10,0
460,12296156,32,44
461,12296157,8,36
462,12296158,2,42
463,12296178,70,16
464,12296179,84,82
465,12296180,154,20
466,12296181,2,146
467,12296182,6,66
468,12296183,10,8
469,12296184,0,36
470,12296185,0,190
471,12297018,166,198
472,12297020,112,6
473,12297021,24,12
474,12297022,0,6
475,12297023,26,104
476,12297024,40,12
477,12297025,0,20
478,12297026,16,36
479,12297034,60,42
480,12297159,0,36
481,12297170,48,68
482,12297278,192,38
483,12297336,28,44
484,12297534,20,48
485,12297556,66,24
486,12297559,0,6
487,12297572,72,124
488,12297576,100,4
489,12297589,2,2
490,12297590,8,16
491,12297602,26,34
492,12297618,0,0
493,12297633,2,152
494,12297637,90,6
495,12297638,28,48
496,12297639,52,36
497,12297640,6,18
498,12297641,22,58
499,12297668,10,38
500,12297671,84,38
501,12297674,112,92
502,12297681,156,20
503,12297684,6,156
504,12297685,130,50
505,12297726,8,10
506,12297727,12,54
507,12297740,2,6
508,12297741,18,36
509,12297748,50,56
510,12297768,14,44
511,12297824,26,16
512,12297825,56,14
513,12297826,72,16
514,12297827,70,60
515,12297828,18,40
516,12297842,26,6
517,12297843,4,100
518,12297844,8,14
519,12297878,0,20
520,12297879,12,4
521,12297880,0,0
522,12297881,16,58
523,12297903,56,4
524,12297924,28,8
525,12297964,14,72
526,12297965,4,56
527,12297966,72,4
528,12297967,2,12
529,12297978,28,68
530,12297986,16,106
531,12297990,104,204
532,12298012,38,6
533,12298013,12,84
534,12298014,96,26
535,12298044,18,4
536,12298084,154,28
537,12298086,10,16
538,12298087,168,56
539,12298088,12,38
540,12298097,0,10
541,12298098,16,14
542,12298099,16,46
543,12298100,8,4
544,12298101,76,22
545,12298103,6,0
546,12298149,14,10
547,12298150,10,42
548,12298151,42,2
549,12298152,48,22
550,12298153,30,18
551,12298187,16,0
552,12298211,28,34
553,12298213,6,22
554,12298214,46,8
555,12298215,2,10
556,12298221,20,66
557,12298225,0,30
558,12298245,28,172
559,12298247,66,0
560,12298275,10,40
561,12298276,46,18
562,12298277,2,32
563,12298278,0,20
